fdc_id,food_code,description,portion_description,gram_weight
2705383,11000000,"Milk, human",1 cup,246
2705383,11000000,"Milk, human",1 fl oz,30.8
2705384,11100000,"Milk, NFS",Guideline amount per cup of hot cereal,61
2705384,11100000,"Milk, NFS",1 individual school container,244
2705384,11100000,"Milk, NFS",Quantity not specified,244
2705384,11100000,"Milk, NFS",1 fl oz,30.5
2705384,11100000,"Milk, NFS",1 cup,244
2705384,11100000,"Milk, NFS",Guideline amount per fl oz of beverage,2.5
2705385,11111000,"Milk, whole",Guideline amount per fl oz of beverage,2.5
2705385,11111000,"Milk, whole",Quantity not specified,244
2705385,11111000,"Milk, whole",Guideline amount per cup of hot cereal,61
2705385,11111000,"Milk, whole",1 individual school container,244
2705385,11111000,"Milk, whole",1 cup,244
2705385,11111000,"Milk, whole",1 fl oz,30.5
2705386,11112110,"Milk, reduced fat (2%)",1 individual school container,244
2705386,11112110,"Milk, reduced fat (2%)",1 cup,244
2705386,11112110,"Milk, reduced fat (2%)",1 fl oz,30.5
2705386,11112110,"Milk, reduced fat (2%)",Guideline amount per cup of hot cereal,61
2705386,11112110,"Milk, reduced fat (2%)",Quantity not specified,244
2705386,11112110,"Milk, reduced fat (2%)",Guideline amount per fl oz of beverage,2.5
2705387,11112210,"Milk, low fat (1%)",1 individual school container,244
2705387,11112210,"Milk, low fat (1%)",Guideline amount per cup of hot cereal,61
2705387,11112210,"Milk, low fat (1%)",1 cup,244
2705387,11112210,"Milk, low fat (1%)",Quantity not specified,244
2705387,11112210,"Milk, low fat (1%)",1 fl oz,30.5
2705387,11112210,"Milk, low fat (1%)",Guideline amount per fl oz of beverage,2.5
2705388,11113000,"Milk, fat free (skim)",1 individual school container,244
2705388,11113000,"Milk, fat free (skim)",Guideline amount per cup of hot cereal,61
2705388,11113000,"Milk, fat free (skim)",Guideline amount per fl oz of beverage,2.5
2705388,11113000,"Milk, fat free (skim)",1 fl oz,30.5
2705388,11113000,"Milk, fat free (skim)",1 cup,244
2705388,11113000,"Milk, fat free (skim)",Quantity not specified,244
2705389,11114300,"Milk, lactose free, low fat (1%)",Guideline amount per cup of hot cereal,61
2705389,11114300,"Milk, lactose free, low fat (1%)",1 cup,244
2705389,11114300,"Milk, lactose free, low fat (1%)",Quantity not specified,244
2705389,11114300,"Milk, lactose free, low fat (1%)",Guideline amount per fl oz of beverage,2.5
2705389,11114300,"Milk, lactose free, low fat (1%)",1 fl oz,30.5
2705390,11114320,"Milk, lactose free, fat free (skim)",Guideline amount per fl oz of beverage,2.5
2705390,11114320,"Milk, lactose free, fat free (skim)",Guideline amount per cup of hot cereal,61
2705390,11114320,"Milk, lactose free, fat free (skim)",1 fl oz,30.5
2705390,11114320,"Milk, lactose free, fat free (skim)",1 cup,244
2705390,11114320,"Milk, lactose free, fat free (skim)",Quantity not specified,244
2705391,11114330,"Milk, lactose free, reduced fat (2%)",1 cup,244
2705391,11114330,"Milk, lactose free, reduced fat (2%)",Guideline amount per fl oz of beverage,2.5
2705391,11114330,"Milk, lactose free, reduced fat (2%)",Quantity not specified,244
2705391,11114330,"Milk, lactose free, reduced fat (2%)",Guideline amount per cup of hot cereal,61
2705391,11114330,"Milk, lactose free, reduced fat (2%)",1 fl oz,30.5
2705392,11114350,"Milk, lactose free, whole",Quantity not specified,244
2705392,11114350,"Milk, lactose free, whole",Guideline amount per cup of hot cereal,61
2705392,11114350,"Milk, lactose free, whole",Guideline amount per fl oz of beverage,2.5
2705392,11114350,"Milk, lactose free, whole",1 cup,244
2705392,11114350,"Milk, lactose free, whole",1 fl oz,30.5
2705393,11115300,Buttermilk,1 cup,244
2705393,11115300,Buttermilk,1 fl oz,30.5
2705393,11115300,Buttermilk,Quantity not specified,244
2705394,11115400,Kefir,1 fl oz,30.5
2705394,11115400,Kefir,Quantity not specified,244
2705394,11115400,Kefir,1 cup,244
2705395,11116000,Goat milk,Quantity not specified,244
2705395,11116000,Goat milk,1 fl oz,30.5
2705395,11116000,Goat milk,Guideline amount per fl oz of beverage,2.5
2705395,11116000,Goat milk,1 cup,244
2705395,11116000,Goat milk,Guideline amount per cup of hot cereal,61
2705396,11120000,"Milk, dry, reconstituted, nonfat",Guideline amount per cup of hot cereal,61
2705396,11120000,"Milk, dry, reconstituted, nonfat",Quantity not specified,244
2705396,11120000,"Milk, dry, reconstituted, nonfat",1 cup,244
2705396,11120000,"Milk, dry, reconstituted, nonfat",Guideline amount per fl oz of beverage,2.5
2705396,11120000,"Milk, dry, reconstituted, nonfat",1 fl oz,30.5
2705397,11121100,"Milk, dry, reconstituted, whole",Guideline amount per cup of hot cereal,61
2705397,11121100,"Milk, dry, reconstituted, whole",1 fl oz,30.5
2705397,11121100,"Milk, dry, reconstituted, whole",1 cup,244
2705397,11121100,"Milk, dry, reconstituted, whole",Quantity not specified,244
2705397,11121100,"Milk, dry, reconstituted, whole",Guideline amount per fl oz of beverage,2.5
2705398,11210050,"Milk, evaporated, NS as to fat content",1 fl oz,31.5
2705398,11210050,"Milk, evaporated, NS as to fat content",Guideline amount per fl oz of beverage,2.6
2705398,11210050,"Milk, evaporated, NS as to fat content",Quantity not specified,16
2705398,11210050,"Milk, evaporated, NS as to fat content",Guideline amount per cup of hot cereal,63
2705398,11210050,"Milk, evaporated, NS as to fat content",1 cup,252
2705399,11211050,"Milk, evaporated, whole",1 fl oz,31.5
2705399,11211050,"Milk, evaporated, whole",Guideline amount per cup of hot cereal,63
2705399,11211050,"Milk, evaporated, whole",Quantity not specified,16
2705399,11211050,"Milk, evaporated, whole",1 cup,252
2705399,11211050,"Milk, evaporated, whole",Guideline amount per fl oz of beverage,2.6
2705400,11211400,"Milk, evaporated, reduced fat (2%)",1 fl oz,31.5
2705400,11211400,"Milk, evaporated, reduced fat (2%)",Quantity not specified,16
2705400,11211400,"Milk, evaporated, reduced fat (2%)",Guideline amount per cup of hot cereal,63
2705400,11211400,"Milk, evaporated, reduced fat (2%)",1 cup,252
2705401,11212050,"Milk, evaporated, fat free (skim)",1 fl oz,31.5
2705401,11212050,"Milk, evaporated, fat free (skim)",Quantity not specified,16
2705401,11212050,"Milk, evaporated, fat free (skim)",Guideline amount per cup of hot cereal,63
2705401,11212050,"Milk, evaporated, fat free (skim)",1 cup,252
