fdc_id,food_code,description,wweia_category_number,wweia_category_description,state_hint,kcal_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g,fiber_g_per_100g,sugar_g_per_100g,sodium_mg_per_100g,atwater_kcal,atwater_ratio,publication_date
2706337,26301110,Abalone,2404,Shellfish,,177,21.24,7.46,6.12,0,0,574,169.9,0.960,2022-10-28
2708809,58137300,"Adobo, with noodles",3004,Poultry mixed dishes,,172,16.89,8.14,7.66,0.4,0.03,510,169.1,0.983,2022-10-28
2708958,58150530,"Adobo, with rice",3004,Poultry mixed dishes,,181,17.69,8.86,7.94,0.2,0.03,522,177.7,0.982,2022-10-28
2710282,91302020,Agave liquid sweetener,8802,Sugars and honey,,310,0.09,76.37,0.45,0.2,68.03,4,309.9,1.000,2022-10-28
2710681,93301400,Alcoholic coffee drink,7506,Liquor and cocktails,,88,0.21,2.1,2.38,0,2.04,3,30.7,0.348,2022-10-28
2710620,93106100,Alcoholic malt beverage,7502,Beer,,58,0.9,0.27,0,0,0,4,4.7,0.081,2022-10-28
2710619,93106000,"Alcoholic malt beverage, sweetened",7502,Beer,,68,0,10.07,0,0,9.77,5,40.3,0.592,2022-10-28
2709765,75100500,"Alfalfa sprouts, raw",6420,Other vegetables and combinations,raw,23,3.99,2.1,0.69,1.9,0.2,6,30.6,1.329,2022-10-28
2705809,14650160,Alfredo sauce,8412,"Dips, gravies, other sauces",,150,2.12,1.77,15,0,0.9,552,150.6,1.004,2022-10-28
2705810,14650165,Alfredo sauce with added vegetables,8412,"Dips, gravies, other sauces",,122,2.07,2.65,11.54,0.4,1.44,423,122.7,1.006,2022-10-28
2705811,14650170,Alfredo sauce with meat,8412,"Dips, gravies, other sauces",,171,6.52,1.44,15.34,0,0.73,520,169.9,0.994,2022-10-28
2705812,14650175,Alfredo sauce with meat and added vegetables,8412,"Dips, gravies, other sauces",,148,6.47,2.15,12.53,0.3,1.17,415,147.2,0.995,2022-10-28
2705813,14650180,Alfredo sauce with poultry,8412,"Dips, gravies, other sauces",,156,6.87,1.44,13.6,0,0.73,518,155.6,0.998,2022-10-28
2705814,14650185,Alfredo sauce with poultry and added vegetables,8412,"Dips, gravies, other sauces",,133,6.83,2.15,10.79,0.3,1.17,413,133.0,1.000,2022-10-28
2705815,14650190,Alfredo sauce with seafood,8412,"Dips, gravies, other sauces",,145,5.91,1.99,12.46,0,0.73,541,143.7,0.991,2022-10-28
2705816,14650195,Alfredo sauce with seafood and added vegetables,8412,"Dips, gravies, other sauces",,122,5.87,2.7,9.66,0.3,1.17,436,121.2,0.994,2022-10-28
2707533,42200500,Almond butter,2804,Nuts and seeds,,641,20.67,21.11,52.72,9.6,4.4,232,641.6,1.001,2022-10-28
2707565,42304040,"Almond butter and jelly sandwich, on wheat bread",3722,Peanut butter and jelly sandwiches,,372,12.04,42.86,17.2,5.8,13.19,307,374.4,1.006,2022-10-28
2707564,42304030,"Almond butter and jelly sandwich, on white bread",3722,Peanut butter and jelly sandwiches,,374,10.98,44.88,16.99,4.2,13.26,313,376.4,1.006,2022-10-28
2707563,42304020,"Almond butter sandwich, on wheat bread",3722,Peanut butter and jelly sandwiches,,395,14.62,36.97,20.93,6.9,4.93,368,394.7,0.999,2022-10-28
2707562,42304010,"Almond butter sandwich, on white bread",3722,Peanut butter and jelly sandwiches,,397,13.34,39.43,20.68,4.9,5.01,374,397.2,1.001,2022-10-28
2707534,42200510,"Almond butter, lower sodium",2804,Nuts and seeds,,645,20.79,21.24,53.04,9.7,4.43,1,645.5,1.001,2022-10-28
2706797,27445250,Almond chicken,3404,Stir-fry and soy-based sauce mixtures,,195,15.66,4.46,13.16,1.2,1.42,330,198.9,1.020,2022-10-28
2705408,11350010,"Almond milk, chocolate",1902,Plant-based milk,,43,0.57,7.44,1.2,0.1,6.97,56,42.8,0.996,2022-10-28
